comprimé;0;MEDROL 100 mg, comprimé
solution pour bain de bouche;1;DIGLUCONATE DE CHLORHEXIDINE;PAROEX 0,12 POUR CENT, solution pour bain de bouche
comprimé;0;GLIMEPIRIDE BGR 4 mg, comprimé
comprimé;0;BISOPROLOL TEVA SANTE 3,75 mg, comprimé
poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE MYLAN PHARMA 250 mg/5 ml, poudre pour suspension buvable
comprimé;0;EZETIMIBE/SIMVASTATINE BIOGARAN 10 mg/40 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;IGNATIA AMARA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;DIOSMINE SANDOZ CONSEIL 300 mg, comprimé pelliculé
comprimé à libération prolongée;1;PRAMIPEXOLE BASE;SIFROL 2,1 mg, comprimé à libération prolongée
poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE EG 125 mg/5 ml, poudre pour suspension buvable
solution buvable en gouttes;0;DOLSTIC 100 mg/ml, solution buvable en gouttes
solution buvable;0;LACTULOSE RPG 66,5 %, solution buvable en flacon
solution injectable;0;STEROGYL 15 “H” 600 000 UI/1,5 ml, solution injectable IM en ampoule
comprimé pelliculé;1;MÉMANTINE;MEMANTINE ALMUS 20 mg, comprimé pelliculé
solution pour dialyse péritonéale;2;GLUCOSE ANHYDRE;LACTATE DE SODIUM ANHYDRE;DIALYSE PERITONEALE CONTINUE AMBULATOIRE 19, solution pour dialyse péritonéale
pommade;0;DEXPANTHENOL CRISTERS 5 %, pommade
gel;0;JOUVENCE DE L'ABBE SOURY, gel
collyre en solution;1;DORZOLAMIDE;DORZOLAMIDE BIOGARAN 2 %, collyre en solution
suspension injectable;0;BOOSTRIXTETRA, suspension injectable en seringue préremplie. Vaccin diphtérique, tétanique, coquelucheux (acellulaire multicomposé) et poliomyélitique (inactivé), (adsorbé, à teneur réduite en antigènes)
comprimé pelliculé;0;FAMOTIDINE EG 20 mg, comprimé pelliculé
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL MYLAN 20 mg, comprimé sécable
poudre et  solvant pour solution injectable;1;CEFTRIAXONE BASE;CEFTRIAXONE BIOGARAN 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
solution injectable;0;LEPTICUR 10 mg/2 ml, solution injectable
poudre et  solvant pour solution pour perfusion;0;SOMATOSTATINE MYLAN 6 mg/1 ml, poudre et solvant pour solution pour perfusion
comprimé pelliculé;0;ZECLAR 250 mg, comprimé pelliculé
collyre en solution;1;TIMOLOL BASE;LATANOPROST/TIMOLOL SANDOZ 50 microgrammes/5 mg par ml, collyre en solution
comprimé sécable;1;PÉRINDOPRIL;PERINDOPRIL/INDAPAMIDE BIOGARAN 2 mg/0,625 mg, comprimé sécable
solution injectable ou pour perfusion;0;ACCOFIL 48 MU/0,5 ml, solution injectable ou pour perfusion en seringue préremplie
solution injectable;0;BINOCRIT 6000 UI/0,6 ml, solution injectable en seringue pré-remplie
 comprimé et solution(s) et granules et poudre et pommade;0;KALMIA LATIFOLIA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
poudre pour suspension buvable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE CRISTERS 125 mg/5 ml, poudre pour suspension buvable
comprimé pelliculé;0;CELIPROLOL ZENTIVA 200 mg, comprimé pelliculé
comprimé pelliculé;0;CARTREX 100 mg, comprimé pelliculé
poudre pour solution pour perfusion;2;CILASTATINE ANHYDRE;IMIPÉNEM ANHYDRE;TIENAM 500 mg/500 mg, poudre pour solution pour perfusion
solution pour pulvérisation;0;SPRAY PAX, solution pour pulvérisation cutanée
poudre pour solution injectable ou pour perfusion;1;MÉROPÉNEM ANHYDRE;PONAXEM 500 mg, poudre pour solution injectable ou pour perfusion
comprimé dispersible;0;LAMOTRIGINE RATIOPHARM 200 mg, comprimé dispersible
solution injectable;0;STRENSIQ 40 mg/ml, solution injectable
comprimé pelliculé sécable;1;QUINAPRIL BASE;QUINAPRIL MYLAN 20 mg, comprimé pelliculé sécable
capsule molle;0;RYDAPT 25 mg, capsule molle
comprimé dispersible sécable;1;FLUOXÉTINE BASE;FLUOXETINE ZYDUS 20 mg, comprimé dispersible sécable
comprimé pelliculé;1;TOLTÉRODINE BASE;DETRUSITOL 2 mg, comprimé pelliculé
ovule à libération prolongée;0;ECONAZOLE MYLAN L.P. 150 mg, ovule à libération prolongée
solution pour pulvérisation;0;DOLI MAL DE GORGE HEXAMIDINE/TETRACAINE, solution pour pulvérisation buccale
comprimé sécable;0;MOLSIDOMINE TEVA 2 mg, comprimé sécable
poudre pour solution à diluer pour perfusion;0;SIVEXTRO 200 mg, poudre pour solution à diluer pour perfusion
comprimé;0;ACICLOVIR CRISTERS 200 mg, comprimé
comprimé;1;ACIDE FOLINIQUE;LEDERFOLINE 25 mg, comprimé
comprimé orodispersible;0;LANSOPRAZOLE BIOGARAN 15 mg, comprimé orodispersible
solution pour perfusion;0;CISPLATINE TEVA 1 mg/1 mL, solution pour perfusion
gélule;0;DIACEREINE MYLAN 50 mg, gélule
solution pour pulvérisation;0;NICORETTESPRAY FRUITS ROUGES 1 mg/dose, solution pour pulvérisation buccale
crème;0;RECTOQUOTANE, crème rectale
comprimé sécable;0;IMETH 10 mg, comprimé sécable
comprimé orodispersible;1;PREDNISOLONE;SOLUPRED 20 mg, comprimé orodispersible
solution pour perfusion;0;ZAVEDOS 10 mg/10 ml, solution pour perfusion
comprimé pelliculé;1;MAGNÉSIUM;MAGNESIUM GLYCOCOLLE LAFARGE, comprimé pelliculé
capsule molle;0;TARGRETIN 75 mg, capsule molle
capsule molle;0;CONTRACNE 5 mg, capsule molle
comprimé osmotique pelliculé à libération prolongée;0;CHRONADALATE L.P. 30 mg, comprimé osmotique pelliculé à libération prolongée
gel;0;ZORAC 0,1 POUR CENT, gel
comprimé pelliculé;0;CLARITHROMYCINE EVOLUGEN 250 mg, comprimé pelliculé
comprimé pelliculé et  comprimé pelliculé pelliculé;0;MINESSE 60 microgrammes/15 microgrammes, comprimé pelliculé
solution injectable;0;PAPAVERINE SERB 40 mg/ml, solution injectable
 comprimé et solution(s) et granules et poudre et pommade;0;PAEONIA OFFICINALIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;0;INTELENCE 25 mg, comprimé
solution injectable;0;RETACRIT 2000 UI/0,6 ml, solution injectable en seringue préremplie
comprimé;0;DIASTABOL 100 mg, comprimé
comprimé pelliculé;0;TRANDATE 200 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;GRINDELIA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;IRBESARTAN/HYDROCHLOROTHIAZIDE CRISTERS 150 mg/12,5 mg, comprimé pelliculé
comprimé;1;FENTANYL;RECIVIT 533 microgrammes, comprimé sublingual
gomme à mâcher médicamenteux(se);1;NICOTINE;NICOTINE EG FRUIT 4 mg SANS SUCRE, gomme à mâcher médicamenteuse édulcorée à l'acésulfame potassique et à la saccharine
solution injectable;0;PERGOVERIS (300 UI + 150 UI)/0,48 mL, solution injectable en stylo prérempli
 comprimé et solution(s) et granules et poudre et pommade;0;COFFEA CRUDA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;ERLOTINIB;TARCEVA 100 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;0;RHAMNUS FRANGULA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
 comprimé et solution(s) et granules et poudre et pommade;0;PHOSPHORICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;0;LEVETIRACETAM ZENTIVA LAB 1000 mg, comprimé pelliculé
poudre pour solution buvable;0;DOLI ETAT GRIPPAL PARACETAMOL/VITAMINE C/PHENIRAMINE 500 mg/200 mg/25 mg, poudre pour solution buvable en sachet
solution injectable;0;ARIXTRA 7,5 mg/0,6 ml, solution injectable en seringue pré-remplie
solution pour lavage;0;NETDOSE 12 mg/18 mg/ml, solution pour lavage ophtalmique en récipient unidose
 comprimé et solution(s) et granules et poudre et pommade;0;CACTUS GRANDIFLORUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gel;1;DICLOFÉNAC SODIQUE;DICLOFENAC BGR 1 %, gel
solution buvable;1;L-ARGININE;ARGININE VEYRON, solution buvable en ampoule
comprimé pelliculé à libération prolongée;0;TARKA LP 240 mg/4 mg, comprimé pelliculé à libération prolongée
suspension;0;PIVALONE 1 POUR CENT, suspension nasale
 comprimé et solution(s) et granules et poudre et pommade;0;ARSENICUM IODATUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;FOSINOPRIL HYDROCHLOROTHIAZIDE ARROW 20 mg/12,5 mg, comprimé sécable
poudre pour solution injectable;0;STREPTASE 750 000 U.I., poudre pour solution injectable ou pour perfusion
comprimé sécable;0;CAPTOPRIL HYDROCHLOROTHIAZIDE SANDOZ 50 mg/25 mg, comprimé sécable
comprimé pelliculé;1;RANITIDINE BASE;AZANTAC 300 mg, comprimé pelliculé
solution injectable;0;PIPORTIL L4 25 mg/ml, solution injectable en ampoule (I.M.)
collyre en solution;0;BIMATOPROST EG 0,3 mg/ml, collyre en solution
comprimé pelliculé et  comprimé pelliculé pelliculé;0;ETHINYLESTRADIOL/DROSPIRENONE BIOGARANCONTINU 0,02 mg/3 mg, comprimé pelliculé
comprimé pelliculé;0;FINASTERIDE MYLAN 5 mg, comprimé pelliculé
comprimé pelliculé;1;DONÉPÉZIL BASE;DONEPEZIL ACCORD 10 mg, comprimé pelliculé
solution pour inhalation par nébuliseur;0;TOBI 300 mg/5 ml, solution pour inhalation par nébuliseur
solution injectable;0;CARMYNE 40 mg/5 mL, solution injectable
solution injectable;0;CONTRAMAL 100 mg/2 ml, solution injectable
gélule;1;SERTRALINE BASE;SERTRALINE ALMUS 50 mg, gélule
comprimé pelliculé;0;CLARITHROMYCINE TEVA 500 mg, comprimé pelliculé
comprimé sécable;0;SPIRONOLACTONE PFIZER 50 mg, comprimé sécable
collyre en solution;0;RIFAMYCINE CHIBRET 1000 000 UI POUR CENT, collyre en solution
gélule;0;FENOFIBRATE ARROW GENERIQUES 67 mg, gélule
suspension pour inhalation par nébuliseur;0;BUDESONIDE EVOLUGEN 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
comprimé sécable;0;FOZITEC 10 mg, comprimé sécable
collyre en solution;0;MULTILARM 0,9 POUR CENT, collyre en solution
comprimé pelliculé dispersible;1;AMOXICILLINE ANHYDRE;AMOXICILLINE ALMUS 1 g, comprimé pelliculé dispersible
gélule;1;RIVASTIGMINE;RIVASTIGMINE ARROW 3 mg, gélule
solution à diluer pour perfusion;0;CISPLATINE MYLAN 1 mg/1 ml, solution à diluer pour perfusion
comprimé;0;EZETIMIBE ALTER 10 mg, comprimé
gel;1;DICLOFÉNAC SODIQUE;DICLOFENAC SANDOZ 1 %, gel en flacon pressurisé
comprimé pelliculé et  comprimé pelliculé pelliculé;1;ÉTHINYLESTRADIOL;JASMINELLECONTINU 0,02 mg/3 mg, comprimé pelliculé
comprimé pelliculé;0;INDAPAMIDE BIOGARAN 2,5 mg, comprimé pelliculé
solution injectable;0;VOLTARENE 75 mg/3 ml, solution injectable
collyre en solution;1;TIMOLOL BASE;LATANOPROST/TIMOLOL TEVA 50 microgrammes/5 mg par ml, collyre en solution
 comprimé et solution(s) et granules et poudre et pommade;0;CAPSICUM ANNUUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
sirop;0;HEXAPNEUMINE ADULTES, sirop
gélule;0;IZALGI 500 mg/25 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;0;VINCA MINOR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;0;LYCOPUS BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
solution pour perfusion;1;ACIDE ZOLÉDRONIQUE ANHYDRE;ACIDE ZOLEDRONIQUE MEDAC 4 mg/100 ml, solution pour perfusion
comprimé orodispersible;0;OLANZAPINE ISOMED 10 mg, comprimé orodispersible
granulés pour suspension buvable;1;JOSAMYCINE BASE;JOSACINE 250 mg/5 ml, granulés pour suspension buvable
solution à diluer pour perfusion;1;TOPOTÉCANE;TOPOTECAN TEVA 4 mg/4 ml, solution à diluer pour perfusion
comprimé;0;CANDESARTAN/HYDROCHLOROTHIAZIDE HCS 16 mg/12,5 mg, comprimé
comprimé pelliculé à libération prolongée;0;INDAPAMIDE ZYDUS LP 1,5 mg, comprimé pelliculé à libération prolongée
comprimé;0;ALLOPURINOL SANDOZ 200 mg, comprimé
comprimé pelliculé;0;MONOFLOCET 200 mg, comprimé pelliculé
solution injectable;0;MIOSTAT 100 microgrammes/ml, solution injectable pour voie intra-oculaire
gélule gastro-résistant(e);0;OMEPRAZOLE KRKA 10 mg, gélule gastro-résistante
comprimé gastro-résistant(e);1;RABÉPRAZOLE BASE;RABEPRAZOLE ZENTIVA 20 mg, comprimé gastro-résistant
comprimé pelliculé;1;MONTÉLUKAST;MONTELUKAST EVOLUGEN 10 mg, comprimé pelliculé
comprimé;0;RAMIPRIL ZYDUS FRANCE 1,25 mg, comprimé
gélule;0;LAMALINE, gélule
dispositif;1;BÊTA-ESTRADIOL;ESTRAPATCH 40 microgrammes/24 heures, dispositif transdermique
comprimé pelliculé;0;TADALAFIL TEVA 10 mg, comprimé pelliculé
poudre pour solution pour perfusion;0;PROLEUKIN 18 millions U.I., poudre pour solution pour perfusion
comprimé pelliculé;1;CLODRONATE DE SODIUM ANHYDRE;CLASTOBAN 800 mg, comprimé pelliculé
poudre et  solvant pour solution injectable;0;VIRAFERONPEG 120 microgrammes, poudre et solvant pour solution injectable en stylo prérempli
liquide pour inhalation par vapeur;0;FORENE, liquide pour inhalation par vapeur
capsule;0;ADALATE 10 mg, capsule
solution injectable pour usage dentaire;2;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE;NORADRÉNALINE;XYLONOR 20 mg/mL NORADRENALINEE au 1/25 000, solution injectable à usage dentaire
comprimé pelliculé;1;IMATINIB;IMATINIB RANBAXY 100 mg, comprimé pelliculé
gélule;0;ELMIRON 100 mg, gélule
solution buvable;0;DUPHALAC 66,5 POUR CENT, solution buvable, flacon
poudre pour suspension buvable;0;SEVELAMER CARBONATE ARROW 2,4 g, poudre pour suspension buvable
comprimé pelliculé;1;ABACAVIR BASE;TRIZIVIR 300 mg / 150 mg / 300 mg, comprimé pelliculé
comprimé à croquer;0;RENNIE SANS SUCRE, comprimé à croquer
comprimé sécable;0;FLECAINE 100 mg, comprimé sécable
comprimé sécable;0;SOTALOL SANDOZ 160 mg, comprimé sécable
comprimé orodispersible;1;DONÉPÉZIL BASE;DONEPEZIL MYLAN 10 mg, comprimé orodispersible
solution injectable;0;HYALGAN 20 mg/2 ml, solution injectable pour voie intra-articulaire en seringue pré-remplie
solution buvable;0;RESTRICAL NOISETTE, solution buvable
comprimé sécable à libération prolongée;1;THÉOPHYLLINE ANHYDRE;THEOSTAT 100 mg A LIBERATION PROLONGEE, comprimé sécable
comprimé;1;LÉVOTHYROXINE SODIQUE ANHYDRE;THYROFIX 75 microgrammes, comprimé
solution injectable;0;FLUMAZENIL TEVA 0,1 mg/ml, solution injectable
comprimé;0;ALLOPURINOL SANDOZ 100 mg, comprimé
suppositoire;0;EFFERALGANMED 80 mg, suppositoire
comprimé pelliculé;1;CARBIDOPA ANHYDRE;CORBILTA 75 mg/18,75 mg/200 mg, comprimé pelliculé
comprimé pelliculé sécable;0;ZOLPIDEM TEVA SANTE 10 mg, comprimé pelliculé sécable
comprimé;0;TELMISARTAN/HYDROCHLOROTHIAZIDE SANDOZ 80 mg/25 mg, comprimé
comprimé pelliculé;1;AMLODIPINE;AMLODIPINE/VALSARTAN TEVA 10 mg/160 mg, comprimé pelliculé
poudre et  solvant pour suspension pour administration intravésicale;0;BCG-MEDAC, poudre et solvant pour suspension pour administration intravésicale
solution;1;DESMOPRESSINE;MINIRIN SPRAY 10 microgrammes par dose, solution endonasale en flacon pulvérisateur
comprimé;0;MINISINTROM 1 mg, comprimé
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE ACIDE CLAVULANIQUE ZYDUS FRANCE 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)
comprimé pelliculé;1;ÉLÉTRIPTAN;ELETRIPTAN PFIZER 40 mg, comprimé pelliculé
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN 100 mg/25 mg, comprimé pelliculé
gélule;0;GABAPENTINE EVOLUGEN 100 mg, gélule
comprimé sécable;0;AMISULPRIDE ARROW 200 mg, comprimé sécable
comprimé enrobé;1;FER;TIMOFEROL 50 mg, comprimé enrobé
comprimé pelliculé sécable;0;ZOLPIDEM BIOGARAN 10 mg, comprimé pelliculé sécable
comprimé sécable;0;PRAVASTATINE ZYDUS 20 mg, comprimé sécable
comprimé pelliculé sécable;1;PÉFLOXACINE;PEFLACINE 400 mg, comprimé pelliculé sécable
comprimé sécable;0;IODURE DE POTASSIUM PHARMACIE CENTRALE DES ARMEES 65 mg, comprimé sécable
solution injectable;1;OCTRÉOTIDE;OCTREOTIDE ARROW 100 microgrammes/1 ml, solution injectable
comprimé pelliculé;1;CÉFUROXIME;CEFUROXIME BIOGARAN 250 mg, comprimé pelliculé
comprimé pelliculé;1;NARATRIPTAN;NARATRIPTAN EG 2,5 mg, comprimé pelliculé
comprimé orodispersible;0;EBASTINE BIOGARAN 10 mg, comprimé orodispersible
solution buvable;0;LEVETIRACETAM ARROW 100 mg/ml, solution buvable
comprimé pelliculé;0;SPRYCEL 100 mg, comprimé pelliculé
comprimé;0;BURINEX 5 mg, comprimé
solution injectable;0;OXYTOCINE PANPHARMA 5 UI/1 ml, solution injectable
comprimé pelliculé;1;ESCITALOPRAM;ESCITALOPRAM RANBAXY 5 mg, comprimé pelliculé
solution pour usage dentaire;0;ROCKLES, solution pour usage dentaire
comprimé pelliculé;1;ENTÉCAVIR;ENTECAVIR MYLAN 1 mg, comprimé pelliculé
capsule molle;0;PROGESTERONE MYLAN 100 mg, capsule molle ou capsule molle vaginale
gélule;0;ELUSANES MILLEPERTUIS, gélule
comprimé pelliculé;1;RALOXIFÈNE;RALOPHARM 60 mg, comprimé pelliculé
gélule;1;AMLODIPINE;AMLODIPINE EG 10 mg, gélule
comprimé pelliculé;0;DESLORATADINE GNR 5 mg, comprimé pelliculé
comprimé sécable;1;PÉRINDOPRIL;PERINDOPRIL RATIOPHARM 4 mg, comprimé sécable
comprimé pelliculé;1;SITAGLIPTINE;XELEVIA 50 mg, comprimé pelliculé
solution injectable;0;FRAXODI 19000 UI Axa/1 ml, solution injectable (S.C.) en seringue pré-remplie
comprimé pelliculé;0;RIBAVIRINE BIOGARAN 200 mg, comprimé pelliculé
solution pour inhalation;0;FORMODUAL 100/6 microgrammes/dose, solution pour inhalation en flacon pressurisé
comprimé;1;PÉRINDOPRIL;PERINDOPRIL/INDAPAMIDE TEVA 4 mg/1,25 mg, comprimé
comprimé enrobé;0;RAPAMUNE 1 mg, comprimé enrobé
solution injectable;1;RANITIDINE BASE;AZANTAC INJECTABLE 50 mg/2 ml, solution injectable en ampoule
comprimé à libération prolongée;0;MONOTRAMAL L.P. 300 mg, comprimé à libération prolongée (UNE PRISE QUOTIDIENNE)
comprimé pelliculé sécable;0;CIBADREX 10 mg/12,5 mg, comprimé pelliculé sécable
comprimé à libération modifiée;0;GLICLAZIDE ARROW 30 mg, comprimé à libération modifiée
capsule molle;1;NINTÉDANIB;OFEV 100 mg, capsule molle
comprimé enrobé;0;ASPROFLASH 500 mg, comprimé enrobé
comprimé pelliculé;1;FEXOFÉNADINE BASE;FEXOFENADINE TEVA 120 mg, comprimé pelliculé
solution injectable;0;METOJECT 10 mg/0,20 ml, solution injectable en stylo prérempli
solution buvable en gouttes;1;CALCIFÉDIOL ANHYDRE;DEDROGYL 15 mg/ 100 ml, solution buvable en gouttes
pastille à sucer;0;ACTIVOX EXPECTORANT LIERRE SANS SUCRE, pastille édulcorée l'isomalt et à l'acésulfame de potassium
comprimé;0;ADANCOR 20 mg, comprimé
comprimé effervescent(e);0;PARACETAMOL BIOGARAN 500 mg, comprimé effervescent
solution pour perfusion;1;LYSINE;AMINOPLASMAL 12, solution pour perfusion
comprimé pelliculé sécable;1;CYAMÉMAZINE BASE;TERCIAN 25 mg, comprimé pelliculé sécable
comprimé sécable;0;HALFAN 250 mg, comprimé sécable
comprimé;0;FLUTAMIDE MYLAN 250 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;CHELIDONIUM MAJUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;BISOPROLOL EG 5 mg, comprimé sécable
comprimé;0;GLIMEPIRIDE ZENTIVA 4 mg, comprimé
suspension buvable;0;ZENTEL 0,4 g/10 ml, suspension buvable
granulés pour suspension buvable;0;TRANSLARNA 125 mg, granulés pour suspension buvable
comprimé quadrisécable;0;CAPTOPRIL TEVA 25 mg, comprimé quadrisécable
crème;0;GLYCEROL/VASELINE/PARAFFINE EG 15 %/8 %/2 %, crème
collyre en solution;0;DULCIPHAK, collyre en solution
comprimé orodispersible;0;LANSOPRAZOLE MYLAN 15 mg, comprimé orodispersible
solution injectable;0;MORPHINE (CHLORHYDRATE) LAVOISIER 10 mg/ml, solution injectable
solution injectable;0;HUMIRA 40 mg, solution injectable en seringue préremplie (0,8 ml)
suspension buvable;0;ALGINATE DE SODIUM/BICARBONATE DE SODIUM ZENTIVA 500 mg/267 mg, suspension buvable en sachet
comprimé;0;BISOPROLOL RATIOPHARM 3,75 mg, comprimé
poudre et  solvant pour suspension injectable à libération prolongée;1;LANRÉOTIDE BASE;SOMATULINE L.P. 30 mg, poudre et solvant pour suspension injectable (I.M.) à libération prolongée
comprimé pelliculé;0;BICALUTAMIDE BIOGARAN 50 mg, comprimé pelliculé
comprimé;0;PARACETAMOL RATIOPHARM 1000 mg, comprimé
solution injectable;0;EPHEDRINE ARROW 30 mg/ml, solution injectable
solution injectable;0;PLEGRIDY 125 microgrammes, solution injectable en stylo prérempli
