1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;SPIRONOLACTONE ARROW 75 mg, comprimé pelliculé sécable
0;OMEPRAZOLE RPG 20 mg, gélule gastro-résistante
1;MIVACURIUM|10 mg;MIVACRON 10 mg/5 ml, solution injectable (IV)
2;SULBACTAM|0,5 g;AMPICILLINE ANHYDRE|1 g;UNACIM INJECTABLE 0,5 g/1 g, poudre pour usage parentéral
0;ACTIVOX MAUX DE GORGE ERYSIMUM AROME MENTHE EUCALYPTUS SANS SUCRE, pastille édulcorée au sorbitol
0;THERACAP131, Iodure(131I) de sodium pour thérapie, gélule
0;MOSIL 800 mg, poudre pour suspension buvable en sachet-dose
1;ANAGRÉLIDE|0,5 mg;ANAGRELIDE MYLAN 0,5 mg, gélule
0;HEXAQUINE, comprimé enrobé
0;GAVISCON NOURRISSONS, suspension buvable en flacon
0;PHLOROGLUCINOL SANDOZ 80 mg, comprimé orodispersible
1;CARBIDOPA ANHYDRE|25 mg;STALEVO 100 mg/25 mg/200 mg, comprimé pelliculé
0;ANAFRANIL 25 mg/2 ml, solution injectable
0;EUPHON, pastille
0;TAMSULOSINE EG L.P. 0,4 mg, gélule à libération prolongée
0;LITHIUM CARBONICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;MANGANUM METALLICUM BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;LIORESAL 10 mg/5 ml, solution injectable pour perfusion par voie intrathécale en ampoule
0;ALYOSTAL VENIN D'ABEILLE APIS MELLIFERA 110 microgrammes, poudre et solvant pour solution injectable
1;ROPINIROLE|1 mg;ROPINIROLE ARROW 1 mg, comprimé pelliculé
1;RÉTINOL|1650 UI;SOLACY ADULTES, gélule
0;BINOCRIT 8000 UI/0,8 ml, solution injectable en seringue pré-remplie
1;SILDÉNAFIL|50 mg;SILDENAFIL ZENTIVA 50 mg, comprimé pelliculé
0;ARIPIPRAZOLE ZENTIVA 15 mg, comprimé
1;CLOPIDOGREL|75 mg;CLOPIDOGREL EG LABO 75 mg, comprimé pelliculé
0;IRBESARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 300 mg/12,5 mg, comprimé pelliculé
0;PARA SPECIAL POUX, shampooing
0;MEXILETINE AP-HP 200 mg, gélule
0;DILTIAZEM TEVA LP 300 mg, gélule à libération prolongée
0;CALMIXENE, sirop
0;DOLIPRANELIQUIZ 200 mg SANS SUCRE, suspension buvable en sachet édulcorée au maltitol liquide et au sorbitol
2;CHLORHYDRATE DE LIDOCAÏNE ANHYDRE|100 mg;ADRÉNALINE|0,05 mg;LIDOCAÏNE 10 mg/ml ADRENALINE 0,005 mg/ml AGUETTANT, solution injectable
0;LERCANIDIPINE EG 10 mg, comprimé pelliculé sécable
0;ALLOPURINOL SANDOZ 200 mg, comprimé
0;NORMACOL 62 g/100 g, granulé enrobé en vrac
0;MIZOCLER 10 mg, comprimé pelliculé à libération modifiée
0;BRONCALENE ENFANTS, sirop
0;ARNICALME, comprimé orodispersible
0;ALPRAZOLAM BIOGARAN 0,25 mg, comprimé sécable
0;MICROLAX BEBE SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM, solution rectale en récipient unidose
0;ADIAZINE 500 mg, comprimé
0;NORDIMET 10 mg, solution injectable en stylo prérempli
0;ACARBOSE BIOGARAN 100 mg, comprimé sécable
1;QUÉTIAPINE|300 mg;QUETIAPINE BIOGARAN LP 300 mg, comprimé à libération prolongée
1;MÉTHYLPREDNISOLONE|20,00 mg;METHYLPREDNISOLONE MYLAN 20 mg, poudre pour solution injectable (IM-IV)
0;TEMESTA 1 mg, comprimé sécable
0;PYOSTACINE 250 mg, comprimé pelliculé
1;MIDAZOLAM|10 mg;BUCCOLAM 10 mg, solution buccale
1;ÉSOMÉPRAZOLE|20 mg;ESOMEPRAZOLE ZENTIVA 20 mg, gélule gastro-résistante
0;PROPOFOL LIPURO 5 mg/ml, émulsion injectable ou pour perfusion
0;CARVEDILOL ARROW 6,25 mg, comprimé pelliculé sécable
0;NUWIQ 2000 UI, poudre et solvant pour solution injectable
0;RIFADINE 300 mg, gélule
0;PROTOPIC 0,03 %, pommade
0;MONOCRIXO L.P. 150 mg, gélule à libération prolongée (UNE PRISE QUOTIDIENNE)
0;ZIMINO 2,5 mg/ml, solution à diluer pour perfusion
1;METFORMINE BASE|280 mg;STAGID 700 mg, comprimé sécable
0;BISOPROLOL/HYDROCHLOROTHIAZIDE MYLAN PHARMA 5 mg/6,25 mg, comprimé pelliculé
0;ZOPICLONE EG 7,5 mg, comprimé pelliculé sécable
0;FLECAINIDE BIOGARAN 100 mg, comprimé sécable
0;OMEPRAZOLE CRISTERS PHARMA 20 mg, gélule gastro-résistante
2;LERCANIDIPINE|9,44 mg;ÉNALAPRIL|15,29 mg;ENALAPRIL/LERCANIDIPINE KRKA 20 mg/10 mg, comprimé pelliculé
0;PARACETAMOL CRISTERS 1 g, comprimé sécable
1;TIMOLOL BASE|5 mg;LATANOPROST/TIMOLOL MYLAN PHARMA 50 microgrammes/5 mg par ml, collyre en solution
0;KETOPROFENE TEVA LP 100 mg, comprimé sécable à libération prolongée
0;MERCILON, comprimé
1;GEMCITABINE|38 mg;GEMCITABINE HOSPIRA 38 mg/ml, solution à diluer pour perfusion
0;TADALAFIL BIOGARAN 10 mg, comprimé pelliculé
0;CELEBREX 200 mg, gélule
0;BETMIGA 25 mg, comprimé à libération prolongée
0;LANSOPRAZOLE PHR LAB 30 mg, gélule gastro-résistante
2;CLAVULANIQUE (ACIDE)|62,5 mg;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE/ACIDE CLAVULANIQUE BIOGARAN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
1;GENTAMICINE|300 mg;GENTALLINE, collyre
0;CELESTAMINE, comprimé
0;PREGABALINE ARROW LAB 25 mg, gélule
0;OXOMEMAZINE EG 0,33 mg/ml, sirop
0;MIRTAZAPINE RATIOPHARM 15 mg, comprimé pelliculé
0;TRIATEC 2,5 mg, comprimé sécable
0;LINEZOLIDE KABI 2 mg/ml, solution pour perfusion
0;DONEPEZIL ACTAVIS 10 mg, comprimé pelliculé
3;GLUCOSE ANHYDRE|150 g;LYSINE|1,29 g;CYSTÉINE|0,23 g;PEDIAVEN AP-HP G15, solution pour perfusion
0;TITANOREINE, suppositoire
2;CLAVULANIQUE (ACIDE)|62,5 mg;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE / ACIDE CLAVULANIQUE MYLAN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
0;DEPO PRODASONE 500 mg, suspension injectable
0;AERRANE, liquide pour inhalation par vapeur
0;POLARAMINE 5 mg/1 ml, solution injectable
0;VASTEN 10 mg, comprimé sécable
0;FLUCONAZOLE PFIZER 150 mg, gélule
1;FLUVASTATINE|20 mg;FRACTAL 20 mg, gélule
0;DOPACEPTIN 5 mg/ml, solution pour perfusion
1;ALFENTANIL|5,00 mg;RAPIFEN 5 mg (0,5 mg/ml), solution injectable
1;ATORVASTATINE|20 mg;ATORVASTATINE ARROW 20 mg, comprimé pelliculé
2;PIPÉRACILLINE|2 g;TAZOBACTAM|250 mg;PIPERACILLINE/TAZOBACTAM TEVA SANTE 2 g/250 mg, poudre pour solution pour perfusion
1;TOPOTÉCANE|1 mg;TOPOTECANE ACCORD 1 mg/ml, solution à diluer pour perfusion
0;DIOSMINE CRISTERS 600 mg, comprimé pelliculé
0;URION 2,5 mg, comprimé pelliculé
0;ANDROGEL 25 mg, gel en sachet-dose
0;LINEZOLIDE KABI 600 mg, comprimé pelliculé
0;BISOPROLOL RATIOPHARM 1,25 mg, comprimé
1;MONTÉLUKAST|5 mg;MONTELUKAST KRKA 5 mg, comprimé à croquer
0;BISOPROLOL TEVA SANTE 1,25 mg, comprimé
0;RABEPRAZOLE PHR LAB 10 mg, comprimé gastro-résistant
1;SERTRALINE BASE|25 mg;SERTRALINE ZYDUS FRANCE 25 mg, gélule
1;MÉTHOTREXATE|25 mg;IMETH 20 mg/0,8 ml, solution injectable en seringue préremplie
0;LEVODOPA/CARBIDOPA/ENTACAPONE BIOGARAN 125 mg/31,25 mg/200 mg, comprimé pelliculé
0;DIOSMINE ARROW 300 mg, comprimé pelliculé
0;OXYBOLDINE CITRON SANS SUCRE, comprimé effervescent édulcoré à la saccharine sodique
1;AMLODIPINE|5 mg;AMLODIPINE BOUCHARA-RECORDATI 5 mg, gélule
0;SPECIAFOLDINE 5 mg, comprimé
1;LISINOPRIL ANHYDRE|20,00 mg;ZESTRIL 20 mg, comprimé
1;FER|50 mg;TIMOFEROL, gélule
0;INFANRIXQUINTA, poudre et suspension pour suspension injectable. Vaccin diphtérique (D), tétanique (T), coquelucheux (acellulaire, multicomposé) (Ca), poliomyélitique (inactivé) (P) et conjugué de l’Haemophilus influenzae type b (Hib), adsorbé
1;CASPOFUNGINE BASE|70 mg;CASPOFUNGINE EG 70 mg, poudre pour solution à diluer pour perfusion
1;LEUPRORÉLINE|6,96 mg;ELIGARD 7,5 mg, poudre et solvant pour solution injectable
1;GLUCOSE ANHYDRE|20 g;GLUCOSE AGUETTANT 20 POUR CENT, solution pour perfusion
1;TIMOLOL BASE|5 mg;LATANOPROST/TIMOLOL ZENTIVA 50 microgrammes/5 mg par ml, collyre en solution
0;FACTANE 200 UI/ml, poudre et solvant pour solution injectable
0;COLTRAMYL 4 mg, comprimé
0;VEINOSTASE, solution buvable, ampoules
0;CALCAREA PHOSPHORICA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;RHAMNUS FRANGULA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;DICLOFENAC MYLAN 50 mg, comprimé gastro-résistant
0;RIVASTIGMINE ZENTIVA 9,5 mg/24 heures, dispositif transdermique
0;REPAGLINIDE KRKA 1 mg, comprimé
0;EAU OXYGENEE 10 VOLUMES EVOLUPHARM, solution pour application cutanée
0;VITAMINE B12 CHAUVIN 0,2 mg/0,4 ml, collyre en solution en récipient unidose
1;AMLODIPINE|5 mg;EXFORGE HCT 5 mg/160 mg/25 mg, comprimé pelliculé
0;CHOLECALCIFEROL ARROW 100 000 UI, solution buvable en ampoule
1;MÉMANTINE|8,31 mg;MEMANTINE TEVA SANTE 10 mg, comprimé pelliculé sécable
0;ABILIFY 1 mg/ml, solution buvable
0;BELLADONNA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;DOPAMINE AGUETTANT 10 mg/ml, solution pour perfusion
0;JUGLANS REGIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;OLANZAPINE MYLAN 15 mg, comprimé orodispersible
1;VARDÉNAFIL|20 mg;LEVITRA 20 mg, comprimé pelliculé
0;MOLSIDOMINE ARROW 4 mg, comprimé sécable
0;NITRENDIPINE TEVA 20 mg, comprimé
1;DEXRAZOXANE|20 mg;CYRDANAX 20 mg/ml, poudre pour solution pour perfusion
0;BIOCADEXTRO 1 mg/ml ENFANTS SANS SUCRE, sirop édulcoré à la saccharine sodique et au maltitol liquide
0;CHONDROSULF 400 mg, gélule
0;FENTANYL ZENTIVA 25 microgrammes/heure, dispositif transdermique
0;HEXTRIL 0,1 POUR CENT, bain de bouche, flacon
0;CHIONANTHUS VIRGINIANA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;MANIDIPINE EG 20 mg, comprimé
0;CLARITYNE 1 mg/ml, sirop
0;TECHNESCAN DMSA, poudre pour solution injectable. Trousse pour la préparation de la solution injectable de succimère de technétium [99mTc]
0;KETOPROFENE TEVA LP 200 mg, gélule à libération prolongée
0;THIOCOLCHICOSIDE ARROW 4 mg, comprimé
1;LANTHANE|750 mg;FOSRENOL 750 mg, poudre orale
3;TYROSINE|1,06 mg;LYSINE|8,8 mg;CYSTÉINE|0,52 mg;AMIPED, solution pour perfusion
0;SELEGILINE MYLAN 5 mg, comprimé
0;LAMOTRIGINE MYLAN 200 mg, comprimé dispersible
1;RISÉDRONATE MONOSODIQUE ANHYDRE|35 mg;RISEDRONATE ALTER 35 mg, comprimé pelliculé
1;ADRÉNALINE|1,00 mg;ADRENALINE RENAUDIN 1 mg/ml, solution injectable en ampoule
0;OLMETEC 40 mg, comprimé pelliculé
0;VOTUBIA 2 mg, comprimé dispersible
0;VASOBRAL, comprimé sécable
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE AGUETTANT 1 g, poudre pour solution injectable
0;CAPECITABINE ZENTIVA 150 mg, comprimé pelliculé
1;NICOTINE|2 mg;NICOTINELL MENTHE 2 mg, comprimé à sucer
0;DIOSMINE ZYDUS 600 mg, comprimé pelliculé
0;BAYPRESS 20 mg, comprimé
0;CANDESARTAN/HYDROCHLOROTHIAZIDE ARROW 8 mg/12,5 mg, comprimé
0;ZECLAR 50 mg/ml, granulés pour suspension buvable
0;PANFUREX 4 %, suspension buvable
0;TRIMEBUTINE ALMUS 200 mg, comprimé
0;BREVIBLOC 10 mg/ml, solution pour perfusion
0;ERGIX 20 mg TOUX SECHE, gélule
0;REMEX 5 %, crème
1;CEFPODOXIME|100,00 mg;CEFPODOXIME ARROW 100 mg, comprimé pelliculé
0;RENNIE SANS SUCRE, comprimé à croquer
1;CIPROFLOXACINE|0,300 g;CILOXAN 0,3 POUR CENT, collyre
0;LOSARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 100 mg/12,5 mg, comprimé pelliculé
0;CHLORURE DE SODIUM AGUETTANT 0,9 POUR CENT, solution pour perfusion
0;NICERGOLINE TEVA 10 mg, gélule
0;HEPT A MYL 30,5 POUR CENT, solution buvable en flacon
0;MINIDIAB 5 mg, comprimé sécable
0;VITATHION, granulé effervescent en sachet-dose
0;REPAGLINIDE ZENTIVA 1 mg, comprimé
0;FYCOMPA 8 mg, comprimé pelliculé
0;FOSINOPRIL ARROW GENERIQUES 20 mg, comprimé
0;ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli
0;AFINITOR 2,5 mg, comprimé
0;STREPSILSPRAY à la lidocaïne, collutoire
0;LOSARTAN CRISTERS 50 mg, comprimé pelliculé sécable
1;AMOROLFINE BASE|5 g;AMOROLFINE BIOGARAN 5 %, vernis à ongles médicamenteux
0;SOPHTAL 0,5 mg/0,5 ml, collyre en récipient unidose
0;CAPECITABINE BIOGARAN 150 mg, comprimé pelliculé
1;ATORVASTATINE|20 mg;LIPTRUZET 10 mg/20 mg, comprimé pelliculé
0;SUPPOSITOIRES A LA GLYCERINE EVOLUPHARM ADULTES, suppositoire en récipient multidose
1;ESCITALOPRAM|15 mg;ESCITALOPRAM CRISTERS 15 mg, comprimé pelliculé sécable
0;LYNPARZA 50 mg, gélule
0;DYNAMISAN 3 g/10 ml, solution buvable en ampoule
0;HUMEX MAL DE GORGE BICLOTYMOL 20 mg MENTHE SANS SUCRE, pastille édulcorée à l'isomalt
0;BRONCHOKOD ENFANTS 2 POUR CENT, sirop
0;ALMIDE 0,1 POUR CENT, collyre en récipient unidose
0;RIVASTIGMINE SANDOZ 4,6 mg/24h, dispositif transdermique
0;ACNETRAIT 10 mg, capsule molle
0;ETOPOSIDE TEVA 100 mg/5 ml, solution injectable pour perfusion
0;LOPERAMIDE ZYDUS 2 mg, gélule
0;OLANZAPINE CRISTERS 5 mg, comprimé enrobé
0;STRENSIQ 40 mg/ml, solution injectable
0;ARACYTINE 100 mg, poudre et solvant pour solution injectable
0;PERNAZENE 0,05 POUR CENT, solution pour pulvérisation nasale
0;DESOGESTREL MYLAN 75 microgrammes, comprimé pelliculé
1;GALANTAMINE|8 mg;GALANTAMINE TEVA SANTE LP 8 mg, gélule à libération prolongée
1;MÉMANTINE|16,62 mg;MEMANTINE TEVA SANTE 20 mg, comprimé pelliculé
0;ARGENTUM NITRICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;GLYCEROL/VASELINE/PARAFFINE ZENTIVA 15 %/8 %/2 %, crème
0;SIMVASTATINE MYLAN 10 mg, comprimé pelliculé
0;CICLOPIROX MYLAN 8 %, vernis à ongles médicamenteux
0;REMOVAB 50 microgrammes, solution à diluer pour perfusion
0;GLIMEPIRIDE ACTAVIS 1 mg, comprimé
0;CHOLEDIAM, trousse pour la préparation de la solution injectable de mébrofénine-technétium [99m Tc]
0;POLYIONIQUE B46 AP-HP, solution pour perfusion
0;FONLIPOL 400 mg, comprimé
0;ADRENALINUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ACECLOFENAC EG 100 mg, comprimé pelliculé
0;CANDESARTAN RANBAXY 32 mg, comprimé sécable
1;NICOTINE|2 mg;NICORETTE FRUITS 2 mg, comprimé à sucer
0;BISOPROLOL TEVA 10 mg, comprimé pelliculé
0;ALDARA 5 %, crème
0;PARACETAMOL EG 1 g, comprimé
0;MYCOPHENOLATE MOFETIL RANBAXY 500 mg, comprimé pelliculé
0;FENOFIBRATE MYLAN 145 mg, comprimé
0;SYMPHYTUM OFFICINALE BOIRON, degré de dilution compris entre 3CH à 30CH et 5DH à 60 DH
0;FENTANYL ZENTIVA 100 microgrammes/heure, dispositif transdermique
0;FENTANYL EG 25 µg/h, dispositif transdermique
0;VALSARTAN RATIOPHARM 160 mg, comprimé pelliculé sécable
0;BENAZEPRIL MYLAN 10 mg, comprimé pelliculé sécable
0;HEPT A MYL 187,8 mg, comprimé
0;EPITOPIC 0,05 POUR CENT, crème
0;CETIRIZINE ZYDUS FRANCE 10 mg, comprimé pelliculé sécable
1;CÉFUROXIME|250 mg;CEFUROXIME BGR 250 mg, comprimé pelliculé
0;DICETEL 50 mg, comprimé pelliculé
1;CALCIPOTRIOL|0,005 g;DAIVONEX 50 microgrammes/gramme, crème
1;CEFTRIAXONE BASE|2000 mg;CEFTRIAXONE MYLAN 2 g, poudre pour solution injectable IV
0;UMULINE PROFIL 30 KWIKPEN 100 UI/ml, suspension injectable
0;NASACORT 55 microgrammes par dose, suspension pour pulvérisation nasale
0;LYSOCLINE, gélule
0;PARACETAMOL CODEINE BIOGARAN 500 mg/30 mg, comprimé effervescent sécable
0;CORTEXAN FRAMYCETINE, pâte pour usage dentaire
1;LÉVOTHYROXINE SODIQUE ANHYDRE|125 microgrammes;L-THYROXIN HENNING 125 microgrammes, comprimé sécable
2;LERCANIDIPINE|9,44 mg;ÉNALAPRIL|15,29 mg;ZANEXTRA 20 mg/10 mg, comprimé pelliculé
0;DUOVA 1 mg/2,5 mg, comprimé
1;PAMIDRONIQUE (ACIDE)|12,6 mg;OSTEPAM 15 mg/ml, solution à diluer pour perfusion
1;ACIDE MYCOPHÉNOLIQUE|360 mg;MYFORTIC 360 mg, comprimé gastro-résistant
0;REPARIL, gel
0;NORFLOXACINE MYLAN 400 mg, comprimé pelliculé
0;DEPAKINE 500 mg, comprimé gastro-résistant
0;VECTRINE 300 mg, gélule
0;NICORANDIL MYLAN PHARMA 20 mg, comprimé
1;ALFENTANIL|0,500 mg;RAPIFEN 1 mg (0,5 mg/ml), solution injectable
0;ALFUZOSINE MYLAN L.P. 10 mg, comprimé à libération prolongée
1;CÉLIPROLOL|200 mg;CELIPROLOL TEVA 200 mg, comprimé pelliculé
0;CHLORHYDRATE DE PROCAINE LAVOISIER 20 mg/ml, solution injectable
0;EAU POUR PREPARATIONS INJECTABLES B. BRAUN, solvant pour préparation parentérale en ampoule
0;ATROPINE (SULFATE) AGUETTANT 0,25 mg/ml, solution injectable
1;METFORMINE BASE|663 mg;METFORMINE EG 850 mg, comprimé pelliculé
0;IRRISEDERMYL, crème
1;DOXAZOSINE|8,0 mg;ZOXAN LP 8 mg, comprimé à libération prolongée
0;SOMATOSTATINE MYLAN 0,25 mg/1 ml, poudre et solvant pour solution pour perfusion
1;ACIDE L FOLINIQUE|50,00 mg;LEVOFOLINATE DE SODIUM MEDAC 50 mg/mL, solution injectable/pour perfusion
1;ACIDE ACÉTYLSALICYLIQUE|1000 mg;HUVANOF 1000 mg ADULTES, poudre pour solution buvable en sachet-dose
1;PÉRINDOPRIL|1,669 mg;PERINDOPRIL ARROW 2 mg, comprimé
0;TADALAFIL CRISTERS 5 mg, comprimé pelliculé
2;PIPÉRACILLINE|4 g;TAZOBACTAM|500 mg;PIPERACILLINE TAZOBACTAM GERDA 4 g/500 mg, poudre pour solution pour perfusion
0;BILASKA 20 mg, comprimé
1;ÉPOPROSTÉNOL|1,500 mg;EPOPROSTENOL SANDOZ 1,5 mg, poudre et solvant pour solution pour perfusion
0;CADMIUM METALLICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;MIRTAZAPINE EG 15 mg, comprimé pelliculé
0;IRBESARTAN/HYDROCHLOROTHIAZIDE ARROW GENERIQUES 150 mg/12,5 mg, comprimé pelliculé
1;CEFTRIAXONE BASE|1 g;CEFTRIAXONE RPG 1 g/3,5 ml, poudre et solvant pour solution injectable (IM)
1;ATORVASTATINE|10 mg;ATORVASTATINE KRKA 10 mg, comprimé pelliculé
1;PYRANTEL BASE|5 g;COMBANTRIN 125 mg/2,5 ml, suspension buvable
1;FOSFOMYCINE|3 g;MONURIL ADULTES 3 g, granulés pour solution buvable en sachet
0;LANSOPRAZOLE CRISTERS 15 mg, gélule gastro-résistante
0;PREGABALINE BIOGARAN 150 mg, gélule
0;MIRTAZAPINE ALMUS 15 mg, comprimé orodispersible
1;ACIDE ALENDRONIQUE|70 mg;STEOVESS 70 mg, comprimé effervescent
0;TRULICITY 0,75 mg, solution injectable en stylo prérempli
0;TOCOPHEROL TEVA 500 mg, capsule molle
0;MILDAC 300 mg, comprimé enrobé
1;ACIDE RISÉDRONIQUE|32,5 mg;RISEDRONATE SANDOZ 35 mg, comprimé pelliculé
1;GALANTAMINE|16 mg;GALANTAMINE CRISTERS LP 16 mg, gélule à libération prolongée
0;HUMEX MAL DE GORGE BICLOTYMOL 20 mg ORANGE, pastille
0;SANDIMMUN 25 mg, capsule molle
0;FENTANYL RANBAXY 25 microgrammes/heure, dispositif transdermique
0;ZERIT 200 mg, poudre pour solution buvable
0;HOMEOPLASMINE, pommade
1;ATOSIBAN|75 mg;ATOSIBAN EVER PHARMA 75 mg/10 ml, solution à diluer pour perfusion
0;ACARBOSE BIOGARAN 50 mg, comprimé
1;RANITIDINE BASE|300 mg;RANITIDINE MYLAN 300 mg, comprimé effervescent
2;CALCIUM ÉLÉMENT|1000 mg;CHOLÉCALCIFÉROL|800 UI;CALCIPRAT VITAMINE D3 1000 mg/800 UI, comprimé à sucer
1;RANITIDINE BASE|300 mg;RANITIDINE TEVA 300 mg, comprimé effervescent
0;NIFUROXAZIDE BIOGARAN 200 mg, gélule
0;BRUFEN 400 mg, comprimé pelliculé
0;PROSTATEP 500 MBq/mL, solution injectable
0;ARIPIPRAZOLE ZYDUS 5 mg, comprimé
0;NIFEDIPINE EG L.P. 30 mg, comprimé pelliculé à libération prolongée
0;CICLOPIROX OLAMINE BIOGARAN 1 %, crème
0;MANGANUM ACETICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;ATORVASTATINE|20 mg;ATORVASTATINE ALMUS 20 mg, comprimé pelliculé
0;AFSTYLA 2000 UI, poudre et solvant pour solution injectable
1;ATORVASTATINE|20 mg;ATORVASTATINE ZYDUS FRANCE 20 mg, comprimé pelliculé
1;TIMOLOL BASE|5 mg;GANFORT 0,3 mg/ml + 5 mg/ml, collyre en solution
2;GLUCOSE ANHYDRE|110 g;LYSINE|4,48 g;OLIMEL N9E, émulsion pour perfusion
0;ZYPREXA VELOTAB 10 mg, comprimé orodispersible
1;FLUOR ÉLÉMENT|0,090 mg;OLIGOSTIM FLUOR, comprimé
0;BISOPROLOL/HYDROCHLOROTHIAZIDE BIOGARAN 10 mg/6,25 mg, comprimé pelliculé
0;MIOREL 4 mg/2 ml, solution injectable (IM) en ampoule
1;METFORMINE BASE|390 mg;METFORMINE PHR LAB 500 mg, comprimé pelliculé
0;ALBUNORM 20 %, 200 g/l, solution pour perfusion
0;NEORAL 10 mg, capsule molle
1;LACTATE DE SODIUM ANHYDRE|0,31 g;RINGER LACTATE GLUCOSE A 5 POUR CENT AGUETTANT, solution injectable pour perfusion (poche)
1;NICOTINE|2,5 mg;NICOPASS MENTHE FRAICHEUR 2,5 mg SANS SUCRE, pastille édulcorée à l'aspartam et à l'acésulfame potassique
1;TACROLIMUS ANHYDRE|0,75 mg;ENVARSUS 0,75 mg, comprimé à libération prolongée
0;NIFEDIPINE ARROW L.P. 30 mg, comprimé pelliculé à libération prolongée
0;CHLORURE DE SODIUM HYPERTONIQUE FRESENIUS 20 %, solution à diluer injectable
0;ANTASOL 135, gaz pour inhalation, en bouteille
0;UMULINE NPH 100 UI/ml, suspension injectable en cartouche
0;LOSARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 100 mg/12,5 mg, comprimé pelliculé
1;AZITHROMYCINE|500 mg;ORDIPHA 500 mg, comprimé dispersible sécable
0;FARMORUBICINE 10 mg/5 ml, solution pour perfusion
0;LEVETIRACETAM TEVA 1000 mg, comprimé pelliculé
0;MORPHINE (CHLORHYDRATE) LAVOISIER 10 mg/ml, solution injectable
0;OLANZAPINE ACCORD 7,5 mg, comprimé enrobé
0;MINOXIDIL TEVA CONSEIL 2 %, solution pour application cutanée
0;MOLSIDOMINE BIOGARAN 2 mg, comprimé sécable
0;ZOPHREN 16 mg, suppositoire
0;RIASTAP 1 g, poudre pour solution injectable/perfusion
1;ALMOTRIPTAN|12,5 mg;ALMOGRAN 12,5 mg, comprimé pelliculé
1;DULOXÉTINE|60 mg;DULOXETINE KRKA 60 mg, gélule gastro-résistante
0;GLICLAZIDE SANDOZ 60 mg, comprimé sécable à libération modifiée
1;BUPRÉNORPHINE|0,4 mg;BUPRENORPHINE SANDOZ 0,4 mg, comprimé sublingual
0;SOTALOL ARROW 80 mg, comprimé sécable
1;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE EG 500 mg, gélule
1;ÉSOMÉPRAZOLE|40 mg;ESOMEPRAZOLE ZENTIVA 40 mg, gélule gastro-résistante
0;RISPERIDONE ARROW LAB 4 mg, comprimé pelliculé sécable
0;MODIODAL 100 mg, comprimé
0;ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie
0;NEORECORMON 10 000 UI, solution injectable en seringue préremplie
1;CÉFUROXIME|50 mg;APROKAM 50 mg, poudre pour solution injectable
1;LACTATE DE SODIUM ANHYDRE|0,31 g;RINGER LACTATE LAVOISIER, solution pour perfusion
0;DIAMOX 250 mg, comprimé sécable
1;AMLODIPINE|10 mg;AMLODIPINE MYLAN 10 mg, gélule
0;POTASSIUM LIBERTY PHARMA 3 %, sirop
2;DORZOLAMIDE|20 mg;TIMOLOL BASE|5 mg;DORZOLAMIDE/TIMOLOL MYLAN 20 mg/ml + 5 mg/ml, collyre en solution
1;LACTULOSE|670 mg;LACTULOSE FRESENIUS 670 mg/ml, solution buvable en flacon
0;IASOFLU 2,0 GBq/ml, solution injectable
0;LAROSCORBINE SANS SUCRE 1 g, comprimé effervescent
0;LORATADINE BIOGARAN 10 mg, comprimé
0;FARESTON 60 mg, comprimé
0;NICORANDIL SANDOZ 20 mg, comprimé
0;CALCAREA IODATA WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
2;AMLODIPINE|10 mg;PÉRINDOPRIL|3,395 mg;COVERAM 5 mg/10 mg, comprimé
0;VICKS SIROP PECTORAL 0,15 %, sirop
0;W 250, solution buvable en gouttes
0;GLIMEPIRIDE RATIO 4 mg, comprimé
