comprimé à libération prolongée;1;FUMARATE DE QUÉTIAPINE;QUETIAPINE MYLAN PHARMA LP 400 mg, comprimé à libération prolongée
comprimé orodispersible;1;OLANZAPINE;ONEZYP 15 mg, comprimé orodispersible
granulés;1;PARACÉTAMOL;EFFERALGAN 500 mg, granulés en sachet
comprimé sécable;2;HYDROCHLOROTHIAZIDE;CAPTOPRIL;CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable
comprimé orodispersible;1;RISPÉRIDONE;RISPERDALORO 2 mg, comprimé orodispersible
solution injectable;1;CYAMÉMAZINE;TERCIAN 50 mg/5 ml, solution injectable en ampoule
comprimé pelliculé;1;RIBAVIRINE;RIBAVIRINE BIOGARAN 400 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE LERCANIDIPINE;ZANIDIP 20 mg, comprimé pelliculé
solution injectable pour perfusion;1;NIMODIPINE;NIMOTOP 10 mg/50 ml, solution injectable pour perfusion
 comprimé et solution(s) et granules et poudre et pommade;1;VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;VALERIANA OFFICINALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE RANBAXY 15 mg, gélule gastro-résistante
collyre en solution;2;LATANOPROST;TIMOLOL (MALÉATE DE);LATANOPROST/TIMOLOL ZYDUS 50 microgrammes/5 mg par ml, collyre en solution
poudre pour solution injectable pour perfusion;1;MÉROPÉNEM TRIHYDRATÉ;MEROPENEM ARROW 1 g, poudre pour solution injectable/pour perfusion
comprimé;1;CUIVRE (GLUCONATE DE);OLIGOSTIM CUIVRE, comprimé
comprimé enrobé sécable;1;CHLORHYDRATE DE MIANSÉRINE;MIANSERINE MYLAN 60 mg, comprimé enrobé sécable
gélule;1;PRÉGABALINE;PREGABALINE MYLAN 75 mg, gélule
comprimé effervescent(e);2;ACÉTYLSALICYLIQUE (ACIDE);ACIDE ASCORBIQUE;ASPRO 500 mg VITAMINE C EFFERVESCENT, comprimé effervescent
solution pour perfusion;1;CHLORHYDRATE DE LÉVOBUPIVACAÏNE;CHIROCAÏNE 1,25 mg/ml, solution pour perfusion
émulsion injectable ou pour perfusion;1;PROPOFOL;PROPOFOL LIPURO 5 mg/ml, émulsion injectable ou pour perfusion
granules et  solution en gouttes en gouttes;1;STICTA PULMONARIA POUR PRÉPARATIONS HOMÉOPATHIQUES;STICTA PULMONARIA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé effervescent(e);1;ACIDE ASCORBIQUE;VITASCORBOL 1 g, comprimé effervescent
comprimé pelliculé à libération prolongée;1;INDAPAMIDE;INDAPAMIDE EG LP 1,5 mg, comprimé pelliculé à libération prolongée
comprimé à libération prolongée;1;CHLORHYDRATE DE ROPINIROLE;ROPINIROLE ARROW LP 8 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé sécable;1;HYDROGÉNOSUCCINATE DE DOXYLAMINE;NOCTYL 15 mg, comprimé pelliculé sécable
comprimé pelliculé;1;TADALAFIL;CIALIS 10 mg, comprimé pelliculé
solution injectable pour perfusion;1;ACÉTATE D'OCTRÉOTIDE;SANDOSTATINE 100 microgrammes/1 mL, solution injectable/pour perfusion
comprimé à sucer ou à croquer;2;CARBONATE DE CALCIUM;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;OSSEANS VITAMINE D3 500 mg/400 UI, comprimé à sucer ou à croquer
gélule;1;DIACÉRÉINE;ART 50 mg, gélule
solution pour perfusion;1;CHLORHYDRATE D'ÉPIRUBICINE;FARMORUBICINE 200 mg/100 ml, solution pour perfusion
comprimé sécable à libération prolongée;1;KÉTOPROFÈNE;KETOPROFENE TEVA LP 100 mg, comprimé sécable à libération prolongée
comprimé pelliculé;1;HYDROGÉNOSULFATE DE CLOPIDOGREL;PLAVIX 75 mg, comprimé pelliculé
comprimé sécable;1;FUMARATE DE BISOPROLOL;BISOPROLOL TEVA SANTE 5 mg, comprimé sécable
comprimé pelliculé;1;ANASTROZOLE;ANASTROZOLE BIOGARAN 1 mg, comprimé pelliculé
poudre pour suspension buvable;1;AZITHROMYCINE DIHYDRATÉE;ZITHROMAX 40 mg/ml ENFANTS, poudre pour suspension buvable
comprimé;1;NORÉTHANDROLONE;NILEVAR 10 mg, comprimé
pastille à sucer;6;THYMOL;ALCOOL BENZYLIQUE;BAUME DE TOLU (TEINTURE DE);CAMPHRE RACÉMIQUE;HUILE ESSENTIELLE D'EUCALYPTUS;LÉVOMENTHOL;PASTILLES MEDICINALES VICKS MENTHOL EUCALYPTUS, pastille à sucer
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN/HYDROCHLOROTHIAZIDE EG 160 mg/12,5 mg, comprimé pelliculé
poudre pour solution pour perfusion;1;VORICONAZOLE;VORICONAZOLE FRESENIUS KABI 200 mg, poudre pour solution pour perfusion
solution pour perfusion;1;CHLORHYDRATE DE TIROFIBAN MONOHYDRATÉ;TIROFIBAN MEDAC 50 microgrammes/ml, solution pour perfusion
comprimé sécable;1;RAMIPRIL;RAMIPRIL TORRENT 2,5 mg, comprimé sécable
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN ARROW LAB 150 mg, comprimé pelliculé
poudre pour inhalation en gélule;1;BUDÉSONIDE;MIFLONIL 200 microgrammes, poudre pour inhalation en gélule
solution buvable en gouttes;1;CHOLÉCALCIFÉROL;ZYMAD 10 000 UI/ml, solution buvable en gouttes
poudre;2;HYDROXYDE DE MAGNÉSIUM;KAOLIN LOURD;KAOMUTH, poudre orale en sachet
gélule;4;CYSTINE;LEVURE;SOUFRE PRÉCIPITÉ;VITAMINE A (ACÉTATE DE);SOLACY ADULTES, gélule
comprimé sécable;1;MÉTHYLPREDNISOLONE;MEDROL 4 mg, comprimé sécable
 dispositif(s);47;CYCLOHEXYLBENZOTHIAZOLESULFENAMIDE;ALCOOL CINNAMIQUE;HYDROXYMÉTHYLSUCCINIMIDE;TÉTRAMÉTHYLTHIURAME (DISULFURE DE);ALCOOLS DE GRAISSE DE LAINE;HYDROXYCITRONELLAL;BAUME DU PÉROU;SULFATE DE NÉOMYCINE;CHLORQUINALDOL;PROPYLE (PARAHYDOXYBENZOATE DE);BENZYLE (PARAHYDROXYBENZOATE DE);ZINC (DIÉTHYLDITHIOCARBAMATE DE);MÉTHYLE (PARAHYDROXYBENZOATE DE);MERCUROTHIOLATE SODIQUE;POTASSIUM (DICHROMATE DE);EUGÉNOL;PARAPHÉNYLÈNEDIAMINE;ISOEUGÉNOL;GÉRANIOL;ISOPROPYLPHÉNYLPARAPHÉNYLÈNEDIAMINE;DIPHÉNYLPARAPHÉNYLÈNEDIAMINE;CYCLOHEXYLPHÉNYLPARAPHÉNYLÈNEDIAMINE;ALPHA-AMYLCINNAMALDÉHYDE;ZINC (DIBUTYLDITHIOCARBAMATE DE);CINNAMALDÉHYDE;ÉTHYLE (PARAHYDROXYBENZOATE D');ÉTHYLÈNEDIAMINE (DICHLORHYDRATE D');DIPENTAMÉTHYLÈNETHIURAME (DISULFURE DE);MERCAPTOBENZOTHIAZOLE;TÉTRACAÏNE (CHLORHYDRATE DE);CLIOQUINOL;RÉSINE P-TERT-BUTYLPHÉNOLFORMALDÉHYDE;MORPHOLINYLMERCAPTOBENZOTHIAZOLE;RÉSINE ÉPOXY;NICKEL (SULFATE DE) HEXAHYDRATÉ;DIBENZOTHIAZOLE (DISULFURE DE);CHLORHYDRATE DE CINCHOCAÏNE;COLOPHANE;BENZOCAÏNE;CHÊNE (MOUSSE DE);BUTYLE (PARAHYDROXYBENZOATE DE);QUATERNIUM 15;COBALT (CHLORURE DE) HEXAHYDRATÉ;TÉTRAMÉTHYLTHIURAME (MONOSULFURE DE);KATHON CG;DIPHÉNYLGUANIDINE;DISULFIRAME;TRUE TEST, dispositif transdermique
solution injectable;1;INTERFÉRON ALFA-2B ;INTRONA 30 millions d'UI, solution injectable en stylo multidose
comprimé;2;VALÉRATE D'ESTRADIOL;MÉDROXYPROGESTÉRONE (ACÉTATE DE);DUOVA 2 mg/5 mg, comprimé
solution injectable;1;DARBÉPOÉTINE ALFA ;ARANESP 40 microgrammes, solution injectable en stylo prérempli
solution à diluer pour perfusion;1;CHLORURE DE SODIUM;CHLORURE DE SODIUM 20 POUR CENT B. BRAUN, solution à diluer pour perfusion
comprimé pelliculé et  comprimé pelliculé;2;GESTODÈNE;ÉTHINYLESTRADIOL;SYLVIANE, comprimé pelliculé
comprimé pelliculé;1;PARACÉTAMOL;DAFALGAN 1000 mg, comprimé pelliculé
solution pour application;1;HEXAMIDINE (DIISÉTIONATE D');HEXOMEDINE TRANSCUTANEE 1,5 POUR MILLE, solution pour application locale
comprimé pelliculé sécable;1;BÉNAZÉPRIL (CHLORHYDRATE DE);BRIEM 5 mg, comprimé pelliculé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;HISTAMINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;HISTAMINUM LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
solution pour pulvérisation;1;NICOTINE;NICORETTESPRAY FRUITS ROUGES 1 mg/dose, solution pour pulvérisation buccale
comprimé;1;DIHYDROGÉNOPHOSPHATE DE RILMÉNIDINE;RILMENIDINE ZYDUS 1 mg, comprimé
comprimé;1;LÉVONORGESTREL;NORLEVO 1,5 mg, comprimé
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;INDAPAMIDE;PARATERAX 8 mg/2,5 mg, comprimé
comprimé sécable;1;FOSINOPRIL SODIQUE;FOSINOPRIL CRISTERS 10 mg, comprimé sécable
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;LOSARTAN POTASSIQUE;LOSARTAN/HYDROCHLOROTHIAZIDE BOUCHARA-RECORDATI 100 mg/25 mg, comprimé pelliculé
solution injectable;1;ÉNOXAPARINE SODIQUE ;LOVENOX 10 000 UI (100 mg)/1 ml, solution injectable en seringue préremplie
crème;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE EG 1 %, crème
poudre pour solution pour perfusion;2;PIPÉRACILLINE SODIQUE;TAZOBACTAM SODIQUE;PIPERACILLINE/TAZOBACTAM SANDOZ 2 g/0,25 g, poudre pour solution pour perfusion
collyre en solution;1;CHLORHYDRATE DE PHÉNYLÉPHRINE;NEOSYNEPHRINE 2,5 % FAURE, collyre en solution en récipient unidose
comprimé et  comprimé pelliculé;2;ACÉTATE DE NOMÉGESTROL;BÊTA-ESTRADIOL HÉMIHYDRATÉ;ZOELY 2,5 mg/1,5 mg, comprimé pelliculé
comprimé sécable;1;ACÉTATE DE NOMÉGESTROL;NOMEGESTROL MYLAN 5 mg, comprimé sécable
crème;1;FLUOROURACILE;EFUDIX 5 POUR CENT, crème
comprimé sécable;1;GLICLAZIDE;GLICLAZIDE TEVA 80 mg, comprimé sécable
solution injectable;1;DALTÉPARINE SODIQUE ;FRAGMINE 7 500 U.I. anti-Xa/0,75 ml, solution injectable en seringue préremplie
suspension injectable;2;ANTIGÈNE  DE SURFACE DE L'HÉPATITE B RECOMBINANT  ;VIRUS DE L'HÉPATITE A SOUCHE HM175 INACTIVÉ ADSORBÉ ;TWINRIX ENFANT, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé) et de l'hépatite B (ADNr) (HAB) (adsorbé)
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE EG 1 mg, comprimé
gaz pour inhalation;1;MONOXYDE D'AZOTE;INOMAX 400 ppm mole/mole, gaz pour inhalation
poudre pour solution injectable;1;MÉPOLIZUMAB ;NUCALA 100 mg, poudre pour solution injectable
lyophilisat;1;SÉLÉGILINE (CHLORHYDRATE DE);OTRASEL 1,25 mg, lyophilisat oral
comprimé enrobé gastro-résistant(e);1;RAISIN (PÉPIN DE) (EXTRAIT DE);ENDOTELON 150 mg, comprimé enrobé gastro-résistant
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;IRBÉSARTAN;IRBESARTAN/HYDROCHLOROTHIAZIDE ZYDUS 150 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE MYLAN PHARMA 850 mg, comprimé pelliculé
comprimé pelliculé;1;SULFATE D'HYDROXYCHLOROQUINE;PLAQUENIL 200 mg, comprimé pelliculé
sirop;3;ESPÈCES PECTORALES (EXTRAIT FLUIDE D');CHLORHYDRATE D'ÉTHYLMORPHINE;CODÉINE;TUSSIPAX, sirop
comprimé pelliculé à libération prolongée;1;FLUVASTATINE SODIQUE;FLUVASTATINE ACTAVIS L.P. 80 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé sécable;2;SPIRONOLACTONE;ALTIZIDE;SPIRONOLACTONE ALTIZIDE EG 25 mg/15 mg, comprimé pelliculé sécable
comprimé pelliculé;1;ZOFÉNOPRIL CALCIQUE;TEOULA 30 mg, comprimé pelliculé
comprimé à libération prolongée;1;NÉVIRAPINE ANHYDRE;VIRAMUNE 400 mg, comprimé à libération prolongée
comprimé orodispersible;1;DOMPÉRIDONE;DOMPERIDONE ARROW 10 mg, comprimé orodispersible
gélule;1;TRANDOLAPRIL;TRANDOLAPRIL MYLAN 4 mg, gélule
suppositoire;1;GLYCÉROL;SUPPOSITOIRE A LA GLYCERINE GILBERT ENFANTS, suppositoire
solution à diluer pour perfusion;1;DOCÉTAXEL TRIHYDRATÉ;TAXOTERE 80 mg/4 ml, solution à diluer pour perfusion
gel;1;IBUPROFÈNE;ADVILMED 5 %, gel
poudre pour solution injectable;1;CEFTAZIDIME PENTAHYDRATÉE;CEFTAZIDIME MYLAN ENFANTS ET NOURRISSONS 250 mg, poudre pour solution injectable
solution pour perfusion;1;CIPROFLOXACINE;CIPROFLOXACINE PANPHARMA 400 mg/200 ml, solution pour perfusion
solution pour application;1;MINOXIDIL;MINOXIDIL SANDOZ CONSEIL 2 %, solution pour application cutanée
comprimé pelliculé;1;TADALAFIL;TADALAFIL SANDOZ 10 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;VIOLA TRICOLOR POUR PRÉPARATIONS HOMÉOPATHIQUES;VIOLA TRICOLOR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;RAMIPRIL;RAMIPRIL RPG 1,25 mg, comprimé
comprimé enrobé gastro-résistant(e);1;DICLOFÉNAC SODIQUE;VOLTARENE 50 mg, comprimé enrobé gastro-résistant
comprimé;1;TELMISARTAN;TELMISARTAN CRISTERS 40 mg, comprimé
suspension buvable;1;DOMPÉRIDONE;PERIDYS 1 mg/ml, suspension buvable
comprimé pelliculé;1;FUMARATE DE BISOPROLOL;BISOCE 1,25 mg, comprimé pelliculé
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE SANDOZ 30 mg, gélule gastro-résistante
poudre pour solution à diluer pour perfusion;1;CHLORHYDRATE DE BENDAMUSTINE;BENDAMUSTINE ACCORD 2,5 mg/mL, poudre pour solution à diluer pour perfusion
comprimé sécable;1;GLIBENCLAMIDE;GLIBENCLAMIDE SANDOZ 5 mg, comprimé sécable
comprimé pelliculé sécable;1;DICHLORHYDRATE DE CÉTIRIZINE;CETIRIZINE RPG 10 mg, comprimé pelliculé sécable
comprimé pelliculé;1;RÉTIGABINE;TROBALT 400 mg, comprimé pelliculé
solution pour inhalation par nébuliseur;1;IPRATROPIUM (BROMURE D') MONOHYDRATÉ;ATROVENT 0,50 mg/1 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
comprimé sécable;1;CANDÉSARTAN CILEXÉTIL;CANDESARTAN TEVA 4 mg, comprimé sécable
comprimé;1;CHLORHYDRATE DE VENLAFAXINE;VENLAFAXINE ACTAVIS 50 mg, comprimé pelliculé
poudre pour solution injectable pour perfusion ou buvable;1;TÉICOPLANINE;TEICOPLANINE MYLAN 200 mg, poudre pour solution injectable/pour perfusion ou solution buvable
solution pour hémodialyse pour hémodialyse et  solution pour hémodialyse pour hémodialyse;5;CHLORURE DE SODIUM;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;GLUCOSE MONOHYDRATÉ;BICARBONATE DE SODIUM;CHLORURE DE CALCIUM DIHYDRATÉ;MULTIBIC SANS POTASSIUM, solution pour hémodialyse/hémofiltration
comprimé sécable;1;CHLORHYDRATE DE SOTALOL;SOTALOL EG 80 mg, comprimé sécable
solution injectable;1;FUROSÉMIDE;LASILIX 20 mg/2 ml, solution injectable en ampoule
comprimé;1;ALLOPURINOL;ALLOPURINOL ZYDUS 100 mg, comprimé
comprimé sécable;1;FUMARATE DE BISOPROLOL;BISOPROLOL QUIVER 5 mg, comprimé sécable
comprimé;1;MALÉATE D'ÉNALAPRIL;ENALAPRIL RANBAXY 20 mg, comprimé
gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE ARROW 6 mg, gélule
suspension injectable à libération prolongée;1;PALMITATE DE PALIPÉRIDONE;XEPLION 75 mg, suspension injectable à libération prolongée
film orodispersible;1;CITRATE DE SILDÉNAFIL;XYBILUN 100 mg, film orodispersible
comprimé enrobé;1;CITRATE DE TAMOXIFÈNE;NOLVADEX 20 mg, comprimé enrobé
gaz pour inhalation;1;OXYGÈNE;OXYGENE MEDICINAL LIQUIDE SOGIG, gaz pour inhalation, pour évaporateur fixe
comprimé;4;MAGNESIA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;SULFURICUM ACIDUM POUR PRÉPARATION HOMÉOPATHIQUE;MERCURIUS CYANATUS POUR PRÉPARATIONS HOMÉOPATHIQUES;BORAX;AFTOSIUM, comprimé sublingual
comprimé;4;HYDROXYDE D'ALUMINIUM;SILICE COLLOÏDALE HYDRATÉE;MAGNÉSIUM (CARBONATE DE) LÉGER;ALGINIQUE (ACIDE);TOPAAL, comprimé
comprimé pelliculé;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE/ACIDE CLAVULANIQUE EG 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
comprimé effervescent(e);1;RANITIDINE (CHLORHYDRATE DE);RANITIDINE EG 300 mg, comprimé effervescent
comprimé pelliculé sécable;1;DICHLORHYDRATE DE CÉTIRIZINE;CETIRIZINE ZYDUS FRANCE 10 mg, comprimé pelliculé sécable
gel pour application;1;PROGESTÉRONE;PROGESTOGEL 1 POUR CENT, gel pour application locale
comprimé sécable;1;GLICLAZIDE;GLICLAZIDE RATIOPHARM 80 mg, comprimé sécable
comprimé;1;FLUORURE DE SODIUM;ZYMAFLUOR 0,75 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;1;MURIATICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;MURIATICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;ZOLMITRIPTAN;ZOLMITRIPTAN SANDOZ 2,5 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;RHUS TOXICODENDRON POUR PRÉPARATIONS HOMÉOPATHIQUES;RHUS TOXICODENDRON LEHNING, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé;2;PÉRINDOPRIL TERT-BUTYLAMINE;INDAPAMIDE;PERINDOPRIL/INDAPAMIDE SANDOZ 2 mg/0,625 mg, comprimé
solution pour perfusion;1;CHLORHYDRATE DE CIPROFLOXACINE;CIFLOX 200 mg/100 mL, solution pour perfusion (IV)
comprimé orodispersible;1;BENZOATE DE RIZATRIPTAN;RIZATRIPTAN BIOGARAN 10 mg, comprimé orodispersible
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;VALSARTAN;VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS 80 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE RALOXIFÈNE;RALOXIFENE SANDOZ 60 mg, comprimé pelliculé
collyre en solution;1;BIMATOPROST;BIMATOPROST SANDOZ 0,3 mg/mL, collyre en solution
solution pour application moussant(e);1;POVIDONE IODÉE;BETADINE SCRUB 4 POUR CENT, solution pour application cutanée (moussante)
gélule;1;CÉLÉCOXIB;CELECOXIB HCS 200 mg, gélule
gélule gastro-résistant(e);1;OMÉPRAZOLE;OMEPRAZOLE ALMUS 20 mg, gélule gastro-résistante
gélule;1;PRÉGABALINE;PREGABALINE ZENTIVA K.S. 75 mg, gélule
comprimé pelliculé;2;SPIRAMYCINE;MÉTRONIDAZOLE;RODOGYL, comprimé pelliculé
comprimé sécable;1;CANDÉSARTAN CILEXÉTIL;CANDESARTAN RANBAXY 4 mg, comprimé sécable
gélule;1;TOPIRAMATE;TOPIRAMATE ARROW 50 mg, gélules
poudre et  solvant pour solution injectable;1;TUROCTOCOG ALFA ;NOVOEIGHT 250 UI, poudre et solvant pour solution injectable
gélule;1;FLUCONAZOLE;TRIFLUCAN 50 mg, gélule
solution pour perfusion;1;LÉVOFLOXACINE HÉMIHYDRATÉE;LEVOFLOXACINE KABI 5 mg/ml, solution pour perfusion
gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE SANDOZ 4,5 mg, gélule
solution buvable gouttes;2;CHLORHYDRATE D'ÉTHYLMORPHINE;CODÉINE;TUSSIPAX, solution buvable, gouttes
 comprimé et solution(s) et granules et poudre et pommade;1;RUTA GRAVEOLENS POUR PRÉPARATIONS HOMÉOPATHIQUES;RUTA GRAVEOLENS BOIRON, degré de dilution compris entre 4CH à 30CH et 8DH à 60DH
capsule molle;1;ISOTRÉTINOÏNE;CURACNE 5 mg, capsule molle
poudre(s) pour inhalation en gélule;1;MANNITOL;ARIDOL, poudre pour inhalation en gélule
poudre pour solution à diluer pour perfusion;2;SULFATE DE CEFTOLOZANE;TAZOBACTAM SODIQUE;ZERBAXA 1 g/0,5 g, poudre pour solution à diluer pour perfusion
comprimé enrobé;1;EXÉMESTANE;AROMASINE 25 mg, comprmé enrobé
comprimé enrobé;1;CHLORHYDRATE DE VÉRAPAMIL;ISOPTINE 40 mg, comprimé enrobé
comprimé;1;ÉVÉROLIMUS;AFINITOR 2,5 mg, comprimé
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;SILDENAFIL ZENTIVA 25 mg, comprimé pelliculé
solution injectable;1;FOLLITROPINE ALFA ;OVALEAP 450 UI/0,75 ml, solution injectable
comprimé;1;HYMÉCROMONE;CANTABILINE 400 mg, comprimé
comprimé;1;ACÉNOCOUMAROL;MINISINTROM 1 mg, comprimé
gélule;1;CHLORHYDRATE DE MÉTHADONE;METHADONE AP-HP 40 mg, gélule
comprimé pelliculé sécable;1;ATÉNOLOL;ATENOLOL SANDOZ 50 mg, comprimé pelliculé sécable
gélule;1;PROPÉRICIAZINE;NEULEPTIL 10 mg, gélule
gélule;1;SÉNÉ (FEUILLE DE);ARKOGELULES SENE, gélule
solution buvable en gouttes;2;FLUORURE DE SODIUM;CHOLÉCALCIFÉROL;ZYMADUO 300 UI, solution buvable en gouttes
comprimé sécable;1;ACÉTATE DE NOMÉGESTROL;NOMEGESTROL EG 5 mg, comprimé sécable
 comprimé et solution(s) et granules et poudre et pommade;1;ARSENICUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ARSENICUM IODATUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;MOLSIDOMINE;MOLSIDOMINE MYLAN 2 mg, comprimé sécable
comprimé à croquer;1;SODIUM (SULFOSILICOALUMINATE DE);SULFURYL 200 mg, comprimé à croquer
comprimé sécable;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE ISOMED 250 mg, comprimé sécable
solution injectable;1;CHLORHYDRATE DE PROMÉTHAZINE;PHENERGAN 2,5 POUR CENT, solution injectable
comprimé pelliculé;1;MÉSILATE D'IMATINIB;IMATINIB RANBAXY 100 mg, comprimé pelliculé
comprimé;1;CANDÉSARTAN CILEXÉTIL;CANDESARTAN HCS 16 mg, comprimé
comprimé sécable;1;GLIBENCLAMIDE;GLIBENCLAMIDE MYLAN 5 mg, comprimé sécable
gélule;1;PRÉGABALINE;PREGABALINE SANDOZ 75 mg, gélule
comprimé enrobé gastro-résistant(e);1;BISACODYL;BISACODYL EG LABO CONSEIL 5 mg, comprimé enrobé gastro-résistant
solution buvable;1;HEPTAMINOL (CHLORHYDRATE D');HEPT A MYL 30,5 POUR CENT, solution buvable en flacon
solution injectable;1;KÉTAMINE (CHLORHYDRATE DE);KETAMINE RENAUDIN 10 mg/ml, solution injectable
comprimé;1;INOSIPLEX;ISOPRINOSINE, comprimé
comprimé à croquer;6;KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;PLUMBUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AMBRA GRISEA POUR PRÉPARATIONS HOMÉOPATHIQUES;MAGNESIA PHOSPHORICA POUR PRÉPARATIONS HOMÉOPATHIQUES;MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES;MAGNESIA BROMATA POUR PRÉPARATIONS HOMÉOPATHIQUES;BIOMAG AGRUMES, comprimé à croquer
comprimé pelliculé;2;SPIRAMYCINE;MÉTRONIDAZOLE;SPIRAMYCINE/METRONIDAZOLE ARROW 1,5 M.U.I./250 mg, comprimé pelliculé
suppositoire;1;TÉRÉBENTHINE (HUILE ESSENTIELLE DE) (PRODUITS D'OXYDATION DE L');OZOTHINE ENFANTS 30 mg, suppositoire
granulés effervescent(e) pour solution buvable;2;CARBONATE DE CALCIUM;CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE;CACIT VITAMINE D3 1000 mg/880 UI, granulés effervescents pour solution buvable en sachet
poudre et  solvant pour solution injectable;1;EFMOROCTOCOG ALFA ;ELOCTA 3000 UI, poudre et solvant pour solution injectable
comprimé orodispersible;1;MIRTAZAPINE;MIRTAZAPINE ARROW 15 mg, comprimé orodispersible
comprimé pelliculé;1;OLANZAPINE;OLANZAPINE ALTER 10 mg, comprimé pelliculé
poudre pour solution injectable;1;TOXINE BOTULINIQUE TYPE A ;BOTOX 50 Unités ALLERGAN, poudre pour solution injectable
comprimé pelliculé;1;DOMPÉRIDONE;PERIDYS 10 mg, comprimé pelliculé
comprimé pelliculé;1;BROMHYDRATE D'ÉLÉTRIPTAN;ELETRIPTAN MYLAN 20 mg, comprimé pelliculé
comprimé pelliculé;1;TOPIRAMATE;TOPIRAMATE ARROW GENERIQUES 50 mg, comprimé pelliculé
solution buvable;1;SUCCINATE DE LOXAPINE;LOXAPAC, solution buvable
solution pour inhalation par fumigation;6;EUCALYPTUS (TEINTURE D');BAUME DU PÉROU;LAVANDE (ESSENCE DE);THYM (HUILE ESSENTIELLE DE);LÉVOMENTHOL;BENJOIN (TEINTURE DE);DOLIRHUME AUX HUILES ESSENTIELLES, solution pour inhalation par fumigation
 comprimé et solution(s) et granules et poudre et pommade;1;STAPHYSAGRIA POUR PRÉPARATIONS HOMÉOPATHIQUES;STAPHYSAGRIA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
lyophilisat pour usage parentéral;9;NICOTINAMIDE;ASCORBATE DE SODIUM;PHOSPHATE SODIQUE DE RIBOFLAVINE;CYANOCOBALAMINE;SODIUM (PANTOTHENATE DE);ACIDE FOLIQUE;CHLORHYDRATE DE PYRIDOXINE;BIOTINE;NITRATE DE THIAMINE;SOLUVIT, lyophilisat pour usage parentéral
comprimé orodispersible;1;ARIPIPRAZOLE;ARIPIPRAZOLE ARROW 10 mg, comprimé orodispersible
